Year,Pais,CO2
1900,CHN,0
1900,IND,11949.647
1900,JPN,19411.872
1900,MEX,1000.272
1900,RUS,46067.541
1900,USA,664123.032
1901,CHN,0
1901,IND,13201.457
1901,JPN,23273.728
1901,MEX,1311.712
1901,RUS,47294.902
1901,USA,723181.839
1902,CHN,95.264
1902,IND,14539.79
1902,JPN,24944.512
1902,MEX,1425.296
1902,RUS,45679.363
1902,USA,766638.331
1903,CHN,1963.904
1903,IND,14826.538
1903,JPN,25787.232
1903,MEX,1557.2
1903,RUS,44683.114
1903,USA,896937.149
1904,CHN,2088.48
1904,IND,16587.98
1904,JPN,29051.856
1904,MEX,1718.416
1904,RUS,49713.723
1904,USA,882952.734
1905,CHN,2297.328
1905,IND,16958.355
1905,JPN,29931.216
1905,MEX,1707.424
1905,RUS,44375.713
1905,USA,987989.072
1906,CHN,17110.88
1906,IND,19581.532
1906,JPN,32855.088
1906,MEX,1919.936
1906,RUS,50615.732
1906,USA,1037809.221
1907,CHN,16839.744
1907,IND,21808.998
1907,JPN,35071.808
1907,MEX,2264.352
1907,RUS,56694.198
1907,USA,1206404.06
1908,CHN,22731.456
1908,IND,24950.163
1908,JPN,37632.944
1908,MEX,3770.256
1908,RUS,57041.987
1908,USA,1055658.857
1909,CHN,20837.168
1909,IND,24181.617
1909,JPN,38255.824
1909,MEX,3693.312
1909,RUS,60214.726
1909,USA,1169267.069
1910,CHN,18748.688
1910,IND,23526.863
1910,JPN,39384.336
1910,MEX,4154.976
1910,RUS,59052.436
1910,USA,1276139.503
1911,CHN,27846.4
1911,IND,24824.192
1911,JPN,44209.824
1911,MEX,8401.552
1911,RUS,61224.438
1911,USA,1263458.518
1912,CHN,9786.544
1912,IND,28569.723
1912,JPN,49280.8
1912,MEX,8632.384
1912,RUS,69353.74
1912,USA,1348624.553
1913,CHN,10757.504
1913,IND,31519.969
1913,JPN,54315.136
1913,MEX,11743.12
1913,RUS,75340.209
1913,USA,1448383.742
1914,CHN,15106.672
1914,IND,31752.195
1914,JPN,58015.776
1914,MEX,10141.952
1914,RUS,67996.239
1914,USA,1323621.466
1915,CHN,16088.624
1915,IND,33197.873
1915,JPN,52842.208
1915,MEX,14315.248
1915,RUS,62411.41
1915,USA,1372983.33
1916,CHN,17964.592
1916,IND,33574.148
1916,JPN,58598.352
1916,MEX,17184.16
1916,RUS,66519.816
1916,USA,1524475.212
1917,CHN,19851.552
1917,IND,35079.558
1917,JPN,67483.552
1917,MEX,26131.648
1917,RUS,61219.95
1917,USA,1676785.935
1918,CHN,21042.352
1918,IND,39427.343
1918,JPN,71543.264
1918,MEX,30642.032
1918,RUS,24414.832
1918,USA,1751950.6
1919,CHN,24255.68
1919,IND,43049.039
1919,JPN,79193.696
1919,MEX,41084.432
1919,RUS,20853.915
1919,USA,1484187.912
1920,CHN,26769.184
1920,IND,34926.942
1920,JPN,74280.272
1920,MEX,76236.848
1920,RUS,19016.24
1920,USA,1744764.634
1921,CHN,25288.928
