Year,Pais,CO2
1900,CHN,0
1900,IND,0.049161
1900,JPN,0.438369
1900,MEX,0.073212
1900,RUS,0.710517
1900,USA,8.538319
1901,CHN,0
1901,IND,0.054077
1901,JPN,0.51974
1901,MEX,0.09481
1901,RUS,0.722783
1901,USA,9.122886
1902,CHN,0.000235
1902,IND,0.059305
1902,JPN,0.550744
1902,MEX,0.101689
1902,RUS,0.691814
1902,USA,9.49745
1903,CHN,0.004822
1903,IND,0.060214
1903,JPN,0.563047
1903,MEX,0.109793
1903,RUS,0.670544
1903,USA,10.902108
1904,CHN,0.005099
1904,IND,0.067078
1904,JPN,0.627249
1904,MEX,0.119785
1904,RUS,0.739222
1904,USA,10.527632
1905,CHN,0.005578
1905,IND,0.068281
1905,JPN,0.638903
1905,MEX,0.117719
1905,RUS,0.65382
1905,USA,11.552144
1906,CHN,0.041312
1906,IND,0.078504
1906,JPN,0.693299
1906,MEX,0.131086
1906,RUS,0.738947
1906,USA,11.897735
1907,CHN,0.040433
1907,IND,0.087061
1907,JPN,0.732984
1907,MEX,0.152767
1907,RUS,0.820288
1907,USA,13.57969
1908,CHN,0.054274
1908,IND,0.099172
1908,JPN,0.777735
1908,MEX,0.252132
1908,RUS,0.817781
1908,USA,11.649834
1909,CHN,0.049419
1909,IND,0.095704
1909,JPN,0.780927
1909,MEX,0.245383
1909,RUS,0.855381
1909,USA,12.659615
1910,CHN,0.044121
1910,IND,0.092713
1910,JPN,0.793398
1910,MEX,0.274888
1910,RUS,0.831207
1910,USA,13.56314
1911,CHN,0.065025
1911,IND,0.097405
1911,JPN,0.878809
1911,MEX,0.55465
1911,RUS,0.853955
1911,USA,13.180478
1912,CHN,0.022603
1912,IND,0.11162
1912,JPN,0.965778
1912,MEX,0.570173
1912,RUS,0.958506
1912,USA,13.828333
1913,CHN,0.024575
1913,IND,0.122548
1913,JPN,1.049433
1913,MEX,0.776024
1913,RUS,1.03173
1913,USA,14.579843
1914,CHN,0.034133
1914,IND,0.122782
1914,JPN,1.105338
1914,MEX,0.670547
1914,RUS,0.922654
1914,USA,13.086161
1915,CHN,0.035955
1915,IND,0.127605
1915,JPN,0.993202
1915,MEX,0.946942
1915,RUS,0.839136
1915,USA,13.35719
1916,CHN,0.039709
1916,IND,0.128279
1916,JPN,1.087433
1916,MEX,1.137285
1916,RUS,0.886205
1916,USA,14.61871
1917,CHN,0.0434
1917,IND,0.13323
1917,JPN,1.23876
1917,MEX,1.730313
1917,RUS,0.808147
1917,USA,15.867276
1918,CHN,0.045502
1918,IND,0.148911
1918,JPN,1.301819
1918,MEX,2.030444
1918,RUS,0.319343
1918,USA,16.416051
1919,CHN,0.051879
1919,IND,0.161669
1919,JPN,1.429037
1919,MEX,2.724218
1919,RUS,0.27027
1919,USA,13.772784
1920,CHN,0.056773
1920,IND,0.130424
1920,JPN,1.327544
1920,MEX,5.057925
1920,RUS,0.244199
1920,USA,15.988993
1921,CHN,0.053313
1921,IND,0.139495
1921,JPN,1.180246
1921,MEX,5.960964
1921,RUS,0.262406
1921,USA,12.909924
1922,CHN,0.055949
1922,IND,0.136479
1922,JPN,1.246289
1922,MEX,5.590073
1922,RUS,0.317093
1922,USA,12.809223
1923,CHN,0.067302
1923,IND,0.139637
1923,JPN,1.307679
1923,MEX,4.634219
1923,RUS,0.347071
1923,USA,16.634723
1924,CHN,0.073201
1924,IND,0.14856
1924,JPN,1.349
1924,MEX,4.298626
1924,RUS,0.409719
1924,USA,14.660525
1925,CHN,0.069051
1925,IND,0.145745
